kind,source_file,source_line,match_text,target_day,target_page,target_file,anchor_present,decision,notes,context
concrete,content/appendix/00-welcome.qmd,15,Day 3 page 36,3,36,content/days/day-03/10-introduction-to-the-funnel-experiment.qmd,Y,,,**Before Day 3.** The more important task here is to prepare for the Funnel Experiment: see [Day 2 pages 43–44](../days/day-02/09-postscript.qmd#sec-page43) and [Day 3 page 36](../days/day-03/10-in...
concrete,content/appendix/00-welcome.qmd,15,Day 3 page 19,3,19,content/days/day-03/06-six-processes.qmd,Y,,,**Before Day 3.** The more important task here is to prepare for the Funnel Experiment: see [Day 2 pages 43–44](../days/day-02/09-postscript.qmd#sec-page43) and [Day 3 page 36](../days/day-03/10-in...
concrete,content/appendix/00-welcome.qmd,17,Day 5 page 28,5,28,content/days/day-05/03-the-deadly-diseases.qmd,Y,,,"**Before [Day 6](../days/day-06/01-introduction.qmd).** For some extra pages of printing for your convenience during Day 6’s Major Activity, etc: see [Day 5 page 28](../days/day-05/03-the-deadly-di..."
concrete,content/appendix/00-welcome.qmd,19,Day 7 page 36,7,36,content/days/day-07/07-major-activity.qmd,Y,,,**Before [Day 8](../days/day-08/01-introduction.qmd).** For some extra copies to aid you in Day 8’s Major Activity: see [Day 7 page 36](../days/day-07/07-major-activity.qmd#sec-page36) and [Day 8 p...
concrete,content/appendix/00-welcome.qmd,19,Day 8 page 3,8,3,content/days/day-08/01-introduction.qmd,Y,,,**Before [Day 8](../days/day-08/01-introduction.qmd).** For some extra copies to aid you in Day 8’s Major Activity: see [Day 7 page 36](../days/day-07/07-major-activity.qmd#sec-page36) and [Day 8 p...
concrete,content/appendix/00-welcome.qmd,21,Day 8 page 28,8,28,content/days/day-08/06-major-activity.qmd,Y,,,"**Before Day 9.** For just a little extra printing, mostly to aid you in Day 9’s Major Activity: see [Day 8 page 28](../days/day-08/06-major-activity.qmd#sec-page28)."
concrete,content/appendix/00-welcome.qmd,25,Day 10 page 33,10,33,content/days/day-10/06-out-of-hours-note.qmd,Y,,,**Before Day 11.** For details of preparation for the second half of the Second Project: see [Day 10 page 33](../days/day-10/06-out-of-hours-note.qmd#sec-page33).
concrete,content/appendix/00-welcome.qmd,27,Day 11 page 36,11,36,content/days/day-11/08-coda.qmd,Y,,,**Before Day 12.** For a little equipment and one or more copies or enlargements: see [Day 11 page 36](../days/day-11/08-coda.qmd#sec-page36).
concrete,content/appendix/01-day-1.qmd,9,Day 1 page 8,1,8,content/days/day-01/03-statistics.qmd,Y,,,"In the “Springboard” article just mentioned on [Day 1 page 8](../days/day-01/03-statistics.qmd#sec-page8), as indeed in much of my other writing, I have largely followed the guidance of Dr Donald J..."
concrete,content/appendix/01-day-1.qmd,9,Day 1 page 6,1,6,content/days/day-01/02-rediscovered.qmd,Y,,,"In the “Springboard” article just mentioned on [Day 1 page 8](../days/day-01/03-statistics.qmd#sec-page8), as indeed in much of my other writing, I have largely followed the guidance of Dr Donald J..."
concrete,content/appendix/01-day-1.qmd,13,Day 1 page 6,1,6,content/days/day-01/02-rediscovered.qmd,Y,,,"In extract from *EST* on [Day 1 page 6](../days/day-01/02-rediscovered.qmd#sec-page6), I referred to the control chart (process behaviour chart) as being “a remarkable statistical technique which, ..."
concrete,content/appendix/01-day-1.qmd,15,Day 1 page 5,1,5,content/days/day-01/03-statistics.qmd,Y,,,"If, either now or subsequently, you wish to obtain more substantial help and guidance on constructing and interpreting control charts than is included in my Springboard article or during this cours..."
concrete,content/appendix/01-day-1.qmd,17,Day 1 page 7,1,7,content/days/day-01/03-statistics.qmd,Y,,,But now let us return to the first paradox summarised on [Day 1 page 7](../days/day-01/03-statistics.qmd#sec-page7): the apparently strange matter of neither the all-important tool of the control c...
concrete,content/appendix/01-day-1.qmd,49,Day 1 page 32,1,32,content/days/day-01/11-deming-story.qmd,Y,,,"Three quick notes here. Firstly, Deming’s use of the terms “common cause” and “special cause” will be described this afternoon. However, if you’d like to check on that now, see “bare bones” 3 and 4..."
concrete,content/appendix/01-day-1.qmd,77,Day 1 page 11,1,11,content/days/day-01/04-resources.qmd,Y,,,*(Continue on [Day 1 page 11](../days/day-01/04-resources.qmd#sec-page11).)*
concrete,content/appendix/01-day-1.qmd,87,Day 1 page 21,1,21,content/days/day-01/07-quality-theory.qmd,Y,,,*(Return to [Day 1 page 21](../days/day-01/07-quality-theory.qmd#sec-page21) or continue on [Day 1 page 22](../days/day-01/07-quality-theory.qmd#sec-page22).)*
concrete,content/appendix/01-day-1.qmd,87,Day 1 page 22,1,22,content/days/day-01/07-quality-theory.qmd,Y,,,*(Return to [Day 1 page 21](../days/day-01/07-quality-theory.qmd#sec-page21) or continue on [Day 1 page 22](../days/day-01/07-quality-theory.qmd#sec-page22).)*
concrete,content/appendix/01-day-1.qmd,95,Day 1 page 41,1,41,content/days/day-01/13-major-activity.qmd,Y,,,I venture to suggest that if just this one message coming from Dr Deming’s teaching were generally understood and appreciated then this world would be a better place. The emphasis would move away f...
concrete,content/appendix/02-day-2.qmd,21,Day 2 page 7,2,7,content/days/day-02/02-intro-to-the-red-beads-experiment.qmd,Y,,,*(Return to [Day 2 page 7](../days/day-02/02-intro-to-the-red-beads-experiment.qmd#sec-page7) or continue on [Day 2 page 8](../days/day-02/02-intro-to-the-red-beads-experiment.qmd#sec-page8).)*
concrete,content/appendix/02-day-2.qmd,21,Day 2 page 8,2,8,content/days/day-02/02-intro-to-the-red-beads-experiment.qmd,Y,,,*(Return to [Day 2 page 7](../days/day-02/02-intro-to-the-red-beads-experiment.qmd#sec-page7) or continue on [Day 2 page 8](../days/day-02/02-intro-to-the-red-beads-experiment.qmd#sec-page8).)*
concrete,content/appendix/02-day-2.qmd,29,Day 2 page 8,2,8,content/days/day-02/02-intro-to-the-red-beads-experiment.qmd,Y,,,*(Return to [Day 2 page 8](../days/day-02/02-intro-to-the-red-beads-experiment.qmd#sec-page8) or continue on [Day 2 page 9](../days/day-02/03-a-brief-overview.qmd#sec-page9).)*
concrete,content/appendix/02-day-2.qmd,29,Day 2 page 9,2,9,content/days/day-02/03-a-brief-overview.qmd,Y,,,*(Return to [Day 2 page 8](../days/day-02/02-intro-to-the-red-beads-experiment.qmd#sec-page8) or continue on [Day 2 page 9](../days/day-02/03-a-brief-overview.qmd#sec-page9).)*
concrete,content/appendix/02-day-2.qmd,37,Day 2 page 16,2,16,content/days/day-02/04-our-first-control-chart.qmd,Y,,,*(Return to [Day 2 page 16](../days/day-02/04-our-first-control-chart.qmd#sec-page16).)*
concrete,content/appendix/02-day-2.qmd,88,Day 2 page 27,2,27,content/days/day-02/06-your-turn.qmd,Y,,,*(Continue on [Day 2 page 27](../days/day-02/06-your-turn.qmd#sec-page27).)*
concrete,content/appendix/02-day-2.qmd,94,Day 2 page 34,2,34,content/days/day-02/07-some-recollections.qmd,Y,,,*(Return to [Day 2 page 34](../days/day-02/07-some-recollections.qmd#sec-page34).)*
concrete,content/appendix/02-day-2.qmd,98,Day 2 page 37,2,37,content/days/day-02/07-some-recollections.qmd,Y,,,*(Return to [Day 2 page 37](../days/day-02/07-some-recollections.qmd#sec-page37).)*
concrete,content/appendix/02-day-2.qmd,121,Day 2 page 34,2,34,content/days/day-02/07-some-recollections.qmd,Y,,,*(Return to [Day 2 page 34](../days/day-02/07-some-recollections.qmd#sec-page34).)*
concrete,content/appendix/02-day-2.qmd,138,Day 2 page 37,2,37,content/days/day-02/07-some-recollections.qmd,Y,,,*(Return to [Day 2 page 37](../days/day-02/07-some-recollections.qmd#sec-page37).)*
concrete,content/appendix/02-day-2.qmd,152,Day 1 page 25,1,25,content/days/day-01/08-attraction.qmd,Y,,,But take a look back at Activity 1–e ([Day 1 page 25](../days/day-01/08-attraction.qmd#sec-page25)) concerning the manager of the call-centre. What were your answers? The question there was in effe...
concrete,content/appendix/02-day-2.qmd,154,Day 1 page 17,1,17,content/days/day-01/06-outline.qmd,Y,,,"This is a very common phenomenon (no pun intended!). Even when people get to understand the concept of common-cause variation, they almost always hopelessly underestimate how large it is, often by ..."
concrete,content/appendix/02-day-2.qmd,154,Day 1 page 18,1,18,content/days/day-01/06-outline.qmd,Y,,,"This is a very common phenomenon (no pun intended!). Even when people get to understand the concept of common-cause variation, they almost always hopelessly underestimate how large it is, often by ..."
concrete,content/appendix/02-day-2.qmd,190,Day 2 page 38,2,38,content/days/day-02/08-major-activity.qmd,Y,,,*(Return to [Day 2 page 38](../days/day-02/08-major-activity.qmd#sec-page38).)*
concrete,content/appendix/02-day-2.qmd,222,Day 2 page 43,2,43,content/days/day-02/09-postscript.qmd,Y,,,*(Return to [Day 2 page 43](../days/day-02/09-postscript.qmd#sec-page43).)*
concrete,content/appendix/03-day-3.qmd,21,Day 3 page 4,3,4,content/days/day-03/01-variation-the-enemy-of-quality.qmd,Y,,,*(Return to [Day 3 page 4](../days/day-03/01-variation-the-enemy-of-quality.qmd#sec-page4) or continue on [Day 3 page 5](../days/day-03/01-variation-the-enemy-of-quality.qmd#sec-page5).)*
concrete,content/appendix/03-day-3.qmd,21,Day 3 page 5,3,5,content/days/day-03/01-variation-the-enemy-of-quality.qmd,Y,,,*(Return to [Day 3 page 4](../days/day-03/01-variation-the-enemy-of-quality.qmd#sec-page4) or continue on [Day 3 page 5](../days/day-03/01-variation-the-enemy-of-quality.qmd#sec-page5).)*
concrete,content/appendix/03-day-3.qmd,38,Day 3 page 18,3,18,content/days/day-03/05-how-do-we-compute-control-limits.qmd,Y,,,*(Return to [Day 3 page 18](../days/day-03/05-how-do-we-compute-control-limits.qmd#sec-page18).)*
concrete,content/appendix/03-day-3.qmd,44,Day 3 page 37,3,37,content/days/day-03/10-introduction-to-the-funnel-experiment.qmd,Y,,,I have chosen to show you a couple of those simulations that demonstrate rather well both the similarities which typically occur and the kind of differences which *may* occur. (The sequences of dic...
concrete,content/appendix/03-day-3.qmd,74,Day 3 page 48,3,48,content/days/day-03/11-the-first-two-rules-of-the-funnel.qmd,Y,,,"Rule 3's behaviour is clearly catastrophic—though did you suspect that such would be the case when (as recalled on the previous page) we may have initially regarded it as an ""apparently rather inno..."
concrete,content/appendix/03-day-3.qmd,82,Day 3 page 56,3,56,content/days/day-03/13-summary.qmd,Y,,,*(Return to the bottom of [Day 3 page 56](../days/day-03/13-summary.qmd#sec-page56).)*
concrete,content/appendix/03-day-3.qmd,90,Day 3 page 21,3,21,content/days/day-03/07-a-favourite-example.qmd,Y,,,"Apart from the feature of possibly wandering off to relatively enormous distances from wherever it starts, there is another aspect of Rule 4 which is often seen in real-world processes. This is tha..."
concrete,content/appendix/03-day-3.qmd,90,Day 3 page 19,3,19,content/days/day-03/06-six-processes.qmd,Y,,,"Apart from the feature of possibly wandering off to relatively enormous distances from wherever it starts, there is another aspect of Rule 4 which is often seen in real-world processes. This is tha..."
concrete,content/appendix/03-day-3.qmd,94,Day 3 page 27,3,27,content/days/day-03/08-control-chart-and-brain.qmd,Y,,,"Now of course, in a sense, part of this discussion has become academic: in practice, when either Rule 3 or 4 behaviour starts to become at all extreme then it will surely be noticed and some kind o..."
concrete,content/appendix/03-day-3.qmd,98,Day 3 page 24,3,24,content/days/day-03/08-control-chart-and-brain.qmd,Y,,,"Regarding the control limits, there are two influences with Rule 2 that will widen the gap between them. Firstly, there is the approximately 40% increase in variation compared with Rule 1. Secondly..."
concrete,content/appendix/03-day-3.qmd,104,Day 3 page 57,3,57,content/days/day-03/13-summary.qmd,Y,,,*(Return to [Day 3 page 57](../days/day-03/13-summary.qmd#sec-page57) or continue on [Day 3 page 58](../days/day-03/13-summary.qmd#sec-page58).)*
concrete,content/appendix/03-day-3.qmd,104,Day 3 page 58,3,58,content/days/day-03/13-summary.qmd,Y,,,*(Return to [Day 3 page 57](../days/day-03/13-summary.qmd#sec-page57) or continue on [Day 3 page 58](../days/day-03/13-summary.qmd#sec-page58).)*
concrete,content/appendix/03-day-3.qmd,154,Day 3 page 58,3,58,content/days/day-03/13-summary.qmd,Y,,,"*(Finally, see the bottom of [Day 3 page 58](../days/day-03/13-summary.qmd#sec-page58).)*"
concrete,content/appendix/04-day-4.qmd,13,Day 4 page 4,4,4,content/days/day-04/02-the-joiner-triangle.qmd,Y,,,*(Return to [Day 4 page 4](../days/day-04/02-the-joiner-triangle.qmd#sec-page4).)*
concrete,content/appendix/04-day-4.qmd,17,Day 4 page 5,4,5,content/days/day-04/02-the-joiner-triangle.qmd,Y,,,*(Return to [Day 4 page 5](../days/day-04/02-the-joiner-triangle.qmd#sec-page5).)*
concrete,content/appendix/04-day-4.qmd,21,Day 4 page 5,4,5,content/days/day-04/02-the-joiner-triangle.qmd,Y,,,*(Return to [Day 4 page 5](../days/day-04/02-the-joiner-triangle.qmd#sec-page5).)*
concrete,content/appendix/04-day-4.qmd,35,Day 4 page 10,4,10,content/days/day-04/02-the-joiner-triangle.qmd,Y,,,*(Return to [Day 4 page 10](../days/day-04/02-the-joiner-triangle.qmd#sec-page10) or continue on [Day 4 page 11](../days/day-04/02-the-joiner-triangle.qmd#sec-page11).)*
concrete,content/appendix/04-day-4.qmd,35,Day 4 page 11,4,11,content/days/day-04/02-the-joiner-triangle.qmd,Y,,,*(Return to [Day 4 page 10](../days/day-04/02-the-joiner-triangle.qmd#sec-page10) or continue on [Day 4 page 11](../days/day-04/02-the-joiner-triangle.qmd#sec-page11).)*
concrete,content/appendix/04-day-4.qmd,51,Day 4 page 16,4,16,content/days/day-04/04-points-1-to-6.qmd,Y,,,*(Return to [Day 4 page 16](../days/day-04/04-points-1-to-6.qmd#sec-page16).)*
concrete,content/appendix/04-day-4.qmd,53,Day 1 page 22,1,22,content/days/day-01/07-quality-theory.qmd,Y,,,"Secondly, the more general lesson to learn from the words ""the need for"" in Point 3 is as follows. Although it may be feasible to start work on adopting some of the 14 Points and on designing the c..."
concrete,content/appendix/04-day-4.qmd,55,Day 4 page 20,4,20,content/days/day-04/04-points-1-to-6.qmd,Y,,,*(Return to [Day 4 page 20](../days/day-04/04-points-1-to-6.qmd#sec-page20).)*
concrete,content/appendix/05-day-5.qmd,31,Day 4 page 25,4,25,content/days/day-04/04-points-1-to-6.qmd,Y,,,"All One Team implies working together for the benefit of all. But fear results in our working narrowly for what we see as personal survival, and ""Devil take the hindmost"". This is more ""suboptimisa..."
concrete,content/appendix/05-day-5.qmd,89,Day 6 page 13,6,13,content/days/day-06/02-gallery-furniture.qmd,Y,,,"Most (if not all) of us know people who have particular skills, abilities, imagination and inspiration that provide invaluable contributions to what we and others can do. But do they not still need..."
concrete,content/appendix/05-day-5.qmd,115,Day 1 page 20,1,20,content/days/day-01/07-quality-theory.qmd,Y,,,"Remember Dr Deming's familiar observation: [""Quality is made at the top""]{.deming_quote} (which was discussed on [Day 1 page 20](../days/day-01/07-quality-theory.qmd#sec-page20) in the very first P..."
concrete,content/appendix/05-day-5.qmd,119,Day 4 page 25,4,25,content/days/day-04/04-points-1-to-6.qmd,Y,,,"All One Team means what it says. Many approaches to quality improvement involve formation of teams, maybe lots of them—but, as previously observed (during Point 5 on [Day 4 page 25](../days/day-04/..."
concrete,content/appendix/06-day-7.qmd,15,Day 7 page 4,7,4,content/days/day-07/02-numerical-targets.qmd,Y,,,*(Return to [Day 7 page 4](../days/day-07/02-numerical-targets.qmd#sec-page4).)*
concrete,content/appendix/06-day-7.qmd,27,Day 7 page 13,7,13,content/days/day-07/04-many-more-true-stories.qmd,Y,,,*(Return to [Day 7 page 13](../days/day-07/04-many-more-true-stories.qmd#sec-page13).)*
concrete,content/appendix/06-day-7.qmd,35,Day 7 page 18,7,18,content/days/day-07/04-many-more-true-stories.qmd,Y,,,*(Return to [Day 7 page 18](../days/day-07/04-many-more-true-stories.qmd#sec-page18).)*
concrete,content/appendix/06-day-7.qmd,49,Day 7 page 28,7,28,content/days/day-07/07-major-activity.qmd,Y,,,*(Return to [Day 7 page 28](../days/day-07/07-major-activity.qmd#sec-page28).)*
concrete,content/appendix/06-day-7.qmd,57,Day 7 page 28,7,28,content/days/day-07/07-major-activity.qmd,Y,,,*(Return to [Day 7 page 28](../days/day-07/07-major-activity.qmd#sec-page28).)*
concrete,content/appendix/06-day-7.qmd,67,Day 7 page 29,7,29,content/days/day-07/07-major-activity.qmd,Y,,,*(Return to [Day 7 page 29](../days/day-07/07-major-activity.qmd#sec-page29).)*
concrete,content/appendix/06-day-7.qmd,75,Day 7 page 29,7,29,content/days/day-07/07-major-activity.qmd,Y,,,*(Return to [Day 7 page 29](../days/day-07/07-major-activity.qmd#sec-page29).)*
concrete,content/appendix/06-day-7.qmd,87,Day 7 page 30,7,30,content/days/day-07/07-major-activity.qmd,Y,,,*(Return to [Day 7 page 30](../days/day-07/07-major-activity.qmd#sec-page30).)*
concrete,content/appendix/06-day-7.qmd,93,Day 7 page 30,7,30,content/days/day-07/07-major-activity.qmd,Y,,,*(Return to [Day 7 page 30](../days/day-07/07-major-activity.qmd#sec-page30).)*
concrete,content/appendix/06-day-7.qmd,101,Day 7 page 31,7,31,content/days/day-07/07-major-activity.qmd,Y,,,*(Return to [Day 7 page 31](../days/day-07/07-major-activity.qmd#sec-page31).)*
concrete,content/appendix/06-day-7.qmd,109,Day 7 page 31,7,31,content/days/day-07/07-major-activity.qmd,Y,,,*(Return to [Day 7 page 31](../days/day-07/07-major-activity.qmd#sec-page31).)*
concrete,content/appendix/06-day-7.qmd,119,Day 7 page 32,7,32,content/days/day-07/07-major-activity.qmd,Y,,,*(Return to [Day 7 page 32](../days/day-07/07-major-activity.qmd#sec-page32).)*
concrete,content/appendix/06-day-7.qmd,127,Day 1 page 33,1,33,content/days/day-01/11-deming-story.qmd,Y,,,"I refer you yet again to the final ""bare bone"" of the ten in Shewhart's Breakthrough ([Day 1 page 33](../days/day-01/11-deming-story.qmd#sec-page33))."
concrete,content/appendix/06-day-7.qmd,129,Day 7 page 32,7,32,content/days/day-07/07-major-activity.qmd,Y,,,*(Return to [Day 7 page 32](../days/day-07/07-major-activity.qmd#sec-page32).)*
concrete,content/appendix/06-day-7.qmd,139,Day 7 page 33,7,33,content/days/day-07/07-major-activity.qmd,Y,,,*(Return to [Day 7 page 33](../days/day-07/07-major-activity.qmd#sec-page33).)*
concrete,content/appendix/06-day-7.qmd,149,Day 7 page 33,7,33,content/days/day-07/07-major-activity.qmd,Y,,,*(Return to [Day 7 page 33](../days/day-07/07-major-activity.qmd#sec-page33).)*
concrete,content/appendix/06-day-7.qmd,159,Day 7 page 34,7,34,content/days/day-07/07-major-activity.qmd,Y,,,*(Return to [Day 7 page 34](../days/day-07/07-major-activity.qmd#sec-page34).)*
